ExperimentName,Subject,Session,Clock.Information,Clock.StartTimeOfDay,Display.RefreshRate,Group,RandomSeed,SessionDate,SessionTime,SessionTimeUtc,Block,answer1[Block],block1,block1.Cycle,block1.Sample,block2,block2.Cycle,block2.Sample,lx,lx.Cycle,lx.Sample,panel1111.ACC,panel1111.CRESP,panel1111.DurationError,panel1111.OnsetDelay,panel1111.OnsetTime,panel1111.RESP,panel1111.RT,panel1111.RTTime,panel1121.ACC,panel1121.CRESP,panel1121.DurationError,panel1121.OnsetDelay,panel1121.OnsetTime,panel1121.RESP,panel1121.RT,panel1121.RTTime,Procedure[Block],Running[Block],sound111,sound112,Trial,answer1[Trial],lxlist,lxlist.Cycle,lxlist.Sample,lxpanel1.ACC,lxpanel1.CRESP,lxpanel1.DurationError,lxpanel1.OnsetDelay,lxpanel1.OnsetTime,lxpanel1.RESP,lxpanel1.RT,lxpanel1.RTTime,lxsound,Procedure[Trial],Running[Trial]
nv,12,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2016-12-23T06:15:25Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">3579545</Frequency><Timestamp dt:dt=""r8"">68448262832</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2016-12-23T06:15:25Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",2016/12/23 14:15,84.839,1,-270520374,12-23-2016,14:15:26,6:15:26,2,i,5,1,1,NA,NA,NA,NA,NA,NA,0,,-999999,60,59259,1,591,59850,NA,NA,NA,NA,NA,NA,NA,NA,aexppro111,block1,nv audio/y1_24k.wav,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
nv,12,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2016-12-23T06:15:25Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">3579545</Frequency><Timestamp dt:dt=""r8"">68448262832</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2016-12-23T06:15:25Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",2016/12/23 14:15,84.839,1,-270520374,12-23-2016,14:15:26,6:15:26,3,a,1,1,2,NA,NA,NA,NA,NA,NA,0,,-999999,31,60391,1,734,61125,NA,NA,NA,NA,NA,NA,NA,NA,aexppro111,block1,nv audio/a1_24k.wav,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
nv,12,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2016-12-23T06:15:25Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">3579545</Frequency><Timestamp dt:dt=""r8"">68448262832</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2016-12-23T06:15:25Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",2016/12/23 14:15,84.839,1,-270520374,12-23-2016,14:15:26,6:15:26,4,i,3,1,3,NA,NA,NA,NA,NA,NA,0,,-999999,31,61664,1,638,62302,NA,NA,NA,NA,NA,NA,NA,NA,aexppro111,block1,nv audio/i1_24k.wav,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
nv,12,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2016-12-23T06:15:25Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">3579545</Frequency><Timestamp dt:dt=""r8"">68448262832</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2016-12-23T06:15:25Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",2016/12/23 14:15,84.839,1,-270520374,12-23-2016,14:15:26,6:15:26,5,e,2,1,4,NA,NA,NA,NA,NA,NA,0,,-999999,30,62842,1,931,63773,NA,NA,NA,NA,NA,NA,NA,NA,aexppro111,block1,nv audio/e1_24k.wav,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
nv,12,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2016-12-23T06:15:25Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">3579545</Frequency><Timestamp dt:dt=""r8"">68448262832</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2016-12-23T06:15:25Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",2016/12/23 14:15,84.839,1,-270520374,12-23-2016,14:15:26,6:15:26,6,u,4,1,5,NA,NA,NA,NA,NA,NA,0,,-999999,54,64339,1,323,64662,NA,NA,NA,NA,NA,NA,NA,NA,aexppro111,block1,nv audio/u1_24k.wav,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
nv,12,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2016-12-23T06:15:25Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">3579545</Frequency><Timestamp dt:dt=""r8"">68448262832</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2016-12-23T06:15:25Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",2016/12/23 14:15,84.839,1,-270520374,12-23-2016,14:15:26,6:15:26,7,u,4,2,6,NA,NA,NA,NA,NA,NA,0,,-999999,31,65200,1,483,65683,NA,NA,NA,NA,NA,NA,NA,NA,aexppro111,block1,nv audio/u1_24k.wav,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
nv,12,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2016-12-23T06:15:25Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">3579545</Frequency><Timestamp dt:dt=""r8"">68448262832</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2016-12-23T06:15:25Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",2016/12/23 14:15,84.839,1,-270520374,12-23-2016,14:15:26,6:15:26,8,a,1,2,7,NA,NA,NA,NA,NA,NA,0,,-999999,42,66237,1,877,67114,NA,NA,NA,NA,NA,NA,NA,NA,aexppro111,block1,nv audio/a1_24k.wav,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
nv,12,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2016-12-23T06:15:25Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">3579545</Frequency><Timestamp dt:dt=""r8"">68448262832</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2016-12-23T06:15:25Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",2016/12/23 14:15,84.839,1,-270520374,12-23-2016,14:15:26,6:15:26,9,e,2,2,8,NA,NA,NA,NA,NA,NA,0,,-999999,30,67651,1,495,68146,NA,NA,NA,NA,NA,NA,NA,NA,aexppro111,block1,nv audio/e1_24k.wav,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
nv,12,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2016-12-23T06:15:25Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">3579545</Frequency><Timestamp dt:dt=""r8"">68448262832</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2016-12-23T06:15:25Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",2016/12/23 14:15,84.839,1,-270520374,12-23-2016,14:15:26,6:15:26,10,i,3,2,9,NA,NA,NA,NA,NA,NA,0,,-999999,31,68689,1,358,69047,NA,NA,NA,NA,NA,NA,NA,NA,aexppro111,block1,nv audio/i1_24k.wav,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
nv,12,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2016-12-23T06:15:25Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">3579545</Frequency><Timestamp dt:dt=""r8"">68448262832</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2016-12-23T06:15:25Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",2016/12/23 14:15,84.839,1,-270520374,12-23-2016,14:15:26,6:15:26,11,NA,5,2,10,NA,NA,NA,NA,NA,NA,0,,-999999,30,69584,1,658,70242,NA,NA,NA,NA,NA,NA,NA,NA,aexppro111,block1,nv audio/y1_24k.wav,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
